YYYYMMDD,19760923
DD/MM/YYYYThh:mm:ss+hhmm,23/09/1976T11:11:11+1111
DD/MM/YYYYThh:mm:ss+hh,23/09/1976T11:11:11+11
DD/MM/YYYYThh:mm:ss-hh:mm,23/09/1976T11:11:11-11:11
DD/MM/YYYYThh:mm:ss-hhmm,23/09/1976T11:11:11-1111
DD/MM/YYYYThh:mm:ss-hh,23/09/1976T11:11:11-11
DD/MM/YYYY hh:mm:ssZ,23/09/1976 11:11:11Z
DD/MM/YYYY hh:mm:ss+hh:mm,23/09/1976 11:11:11+11:11
DD/MM/YYYY hh:mm:ss+hhmm,23/09/1976 11:11:11+1111
DD/MM/YYYY hh:mm:ss+hh,23/09/1976 11:11:11+11
DD/MM/YYYY hh:mm:ss-hh:mm,23/09/1976 11:11:11-11:11
DD/MM/YYYY hh:mm:ss-hhmm,23/09/1976 11:11:11-1111
DD/MM/YYYY hh:mm:ss-hh,23/09/1976 11:11:11-11
DD/MM/YYYYThh:mm:ss.sssZ,23/09/1976T11:11:11.888Z
DD/MM/YYYYThh:mm:ss.sss+hh:mm,23/09/1976T11:11:11.888+11:11
DD/MM/YYYYThh:mm:ss.sss+hhmm,23/09/1976T11:11:11.888+1111
DD/MM/YYYYThh:mm:ss.sss+hh,23/09/1976T11:11:11.888+11
DD/MM/YYYYThh:mm:ss.sss-hh:mm,23/09/1976T11:11:11.888-11:11
DD/MM/YYYYThh:mm:ss.sss-hhmm,23/09/1976T11:11:11.888-1111
DD/MM/YYYYThh:mm:ss.sss-hh,23/09/1976T11:11:11.888-11
DD/MM/YYYY hh:mm:ss.sssZ,23/09/1976 11:11:11.888Z
DD/MM/YYYY hh:mm:ss.sss+hh:mm,23/09/1976 11:11:11.888+11:11
DD/MM/YYYY hh:mm:ss.sss+hhmm,23/09/1976 11:11:11.888+1111
DD/MM/YYYY hh:mm:ss.sss+hh,23/09/1976 11:11:11.888+11
DD/MM/YYYY hh:mm:ss.sss-hh:mm,23/09/1976 11:11:11.888-11:11
DD/MM/YYYY hh:mm:ss.sss-hhmm,23/09/1976 11:11:11.888-1111
DD/MM/YYYY hh:mm:ss.sss-hh,23/09/1976 11:11:11.888-11
DD-MM-YYYYThhZ,23-09-1976T11Z
DD-MM-YYYYThh+hh:mm,23-09-1976T11+11:11
DD-MM-YYYYThh+hhmm,23-09-1976T11+1111
DD-MM-YYYYThh+hh,23-09-1976T11+11
DD-MM-YYYYThh-hh:mm,23-09-1976T11-11:11
DD-MM-YYYYThh-hhmm,23-09-1976T11-1111
DD-MM-YYYYThh-hh,23-09-1976T11-11
DD-MM-YYYY hhZ,23-09-1976 11Z
DD-MM-YYYY hh+hh:mm,23-09-1976 11+11:11
DD-MM-YYYY hh+hhmm,23-09-1976 11+1111
DD-MM-YYYY hh+hh,23-09-1976 11+11
DD-MM-YYYY hh-hh:mm,23-09-1976 11-11:11
DD-MM-YYYY hh-hhmm,23-09-1976 11-1111
DD-MM-YYYY hh-hh,23-09-1976 11-11
DD-MM-YYYYThhmmZ,23-09-1976T1111Z
DD-MM-YYYYThhmm+hh:mm,23-09-1976T1111+11:11
DD-MM-YYYYThhmm+hhmm,23-09-1976T1111+1111
DD-MM-YYYYThhmm+hh,23-09-1976T1111+11
DD-MM-YYYYThhmm-hh:mm,23-09-1976T1111-11:11
DD-MM-YYYYThhmm-hhmm,23-09-1976T1111-1111
DD-MM-YYYYThhmm-hh,23-09-1976T1111-11
DD-MM-YYYY hhmmZ,23-09-1976 1111Z
DD-MM-YYYY hhmm+hh:mm,23-09-1976 1111+11:11
DD-MM-YYYY hhmm+hhmm,23-09-1976 1111+1111
DD-MM-YYYY hhmm+hh,23-09-1976 1111+11
DD-MM-YYYY hhmm-hh:mm,23-09-1976 1111-11:11
DD-MM-YYYY hhmm-hhmm,23-09-1976 1111-1111
DD-MM-YYYY hhmm-hh,23-09-1976 1111-11
DD-MM-YYYYThhmmssZ,23-09-1976T111111Z
DD-MM-YYYYThhmmss+hh:mm,23-09-1976T111111+11:11
DD-MM-YYYYThhmmss+hhmm,23-09-1976T111111+1111
DD-MM-YYYYThhmmss+hh,23-09-1976T111111+11
DD-MM-YYYYThhmmss-hh:mm,23-09-1976T111111-11:11
DD-MM-YYYYThhmmss-hhmm,23-09-1976T111111-1111
DD-MM-YYYYThhmmss-hh,23-09-1976T111111-11
DD-MM-YYYY hhmmssZ,23-09-1976 111111Z
DD-MM-YYYY hhmmss+hh:mm,23-09-1976 111111+11:11
DD-MM-YYYY hhmmss+hhmm,23-09-1976 111111+1111
DD-MM-YYYY hhmmss+hh,23-09-1976 111111+11
DD-MM-YYYY hhmmss-hh:mm,23-09-1976 111111-11:11
DD-MM-YYYY hhmmss-hhmm,23-09-1976 111111-1111
DD-MM-YYYY hhmmss-hh,23-09-1976 111111-11
DD-MM-YYYYThhmmss.sssZ,23-09-1976T111111.888Z
DD-MM-YYYYThhmmss.sss+hh:mm,23-09-1976T111111.888+11:11
DD-MM-YYYYThhmmss.sss+hhmm,23-09-1976T111111.888+1111
DD-MM-YYYYThhmmss.sss+hh,23-09-1976T111111.888+11
DD-MM-YYYYThhmmss.sss-hh:mm,23-09-1976T111111.888-11:11
DD-MM-YYYYThhmmss.sss-hhmm,23-09-1976T111111.888-1111
DD-MM-YYYYThhmmss.sss-hh,23-09-1976T111111.888-11
DD-MM-YYYY hhmmss.sssZ,23-09-1976 111111.888Z
DD-MM-YYYY hhmmss.sss+hh:mm,23-09-1976 111111.888+11:11
DD-MM-YYYY hhmmss.sss+hhmm,23-09-1976 111111.888+1111
DD-MM-YYYY hhmmss.sss+hh,23-09-1976 111111.888+11
DD-MM-YYYY hhmmss.sss-hh:mm,23-09-1976 111111.888-11:11
DD-MM-YYYY hhmmss.sss-hhmm,23-09-1976 111111.888-1111
DD-MM-YYYY hhmmss.sss-hh,23-09-1976 111111.888-11
DD-MM-YYYYThh:mmZ,23-09-1976T11:11Z
DD-MM-YYYYThh:mm+hh:mm,23-09-1976T11:11+11:11
DD-MM-YYYYThh:mm+hhmm,23-09-1976T11:11+1111
DD-MM-YYYYThh:mm+hh,23-09-1976T11:11+11
DD-MM-YYYYThh:mm-hh:mm,23-09-1976T11:11-11:11
DD-MM-YYYYThh:mm-hhmm,23-09-1976T11:11-1111
DD-MM-YYYYThh:mm-hh,23-09-1976T11:11-11
DD-MM-YYYY hh:mmZ,23-09-1976 11:11Z
DD-MM-YYYY hh:mm+hh:mm,23-09-1976 11:11+11:11
DD-MM-YYYY hh:mm+hhmm,23-09-1976 11:11+1111
DD-MM-YYYY hh:mm+hh,23-09-1976 11:11+11
DD-MM-YYYY hh:mm-hh:mm,23-09-1976 11:11-11:11
DD-MM-YYYY hh:mm-hhmm,23-09-1976 11:11-1111
DD-MM-YYYY hh:mm-hh,23-09-1976 11:11-11
DD-MM-YYYYThh:mm:ssZ,23-09-1976T11:11:11Z
DD-MM-YYYYThh:mm:ss+hh:mm,23-09-1976T11:11:11+11:11
DD-MM-YYYYThh:mm:ss+hhmm,23-09-1976T11:11:11+1111
DD-MM-YYYYThh:mm:ss+hh,23-09-1976T11:11:11+11
DD-MM-YYYYThh:mm:ss-hh:mm,23-09-1976T11:11:11-11:11
DD-MM-YYYYThh:mm:ss-hhmm,23-09-1976T11:11:11-1111
DD-MM-YYYYThh:mm:ss-hh,23-09-1976T11:11:11-11
DD-MM-YYYY hh:mm:ssZ,23-09-1976 11:11:11Z
DD-MM-YYYY hh:mm:ss+hh:mm,23-09-1976 11:11:11+11:11
DD-MM-YYYY hh:mm:ss+hhmm,23-09-1976 11:11:11+1111
DD-MM-YYYY hh:mm:ss+hh,23-09-1976 11:11:11+11
DD-MM-YYYY hh:mm:ss-hh:mm,23-09-1976 11:11:11-11:11
DD-MM-YYYY hh:mm:ss-hhmm,23-09-1976 11:11:11-1111
DD-MM-YYYY hh:mm:ss-hh,23-09-1976 11:11:11-11
DD-MM-YYYYThh:mm:ss.sssZ,23-09-1976T11:11:11.888Z
DD-MM-YYYYThh:mm:ss.sss+hh:mm,23-09-1976T11:11:11.888+11:11
DD-MM-YYYYThh:mm:ss.sss+hhmm,23-09-1976T11:11:11.888+1111
DD-MM-YYYYThh:mm:ss.sss+hh,23-09-1976T11:11:11.888+11
DD-MM-YYYYThh:mm:ss.sss-hh:mm,23-09-1976T11:11:11.888-11:11
DD-MM-YYYYThh:mm:ss.sss-hhmm,23-09-1976T11:11:11.888-1111
DD-MM-YYYYThh:mm:ss.sss-hh,23-09-1976T11:11:11.888-11
DD-MM-YYYY hh:mm:ss.sssZ,23-09-1976 11:11:11.888Z
DD-MM-YYYY hh:mm:ss.sss+hh:mm,23-09-1976 11:11:11.888+11:11
DD-MM-YYYY hh:mm:ss.sss+hhmm,23-09-1976 11:11:11.888+1111
DD-MM-YYYY hh:mm:ss.sss+hh,23-09-1976 11:11:11.888+11
DD-MM-YYYY hh:mm:ss.sss-hh:mm,23-09-1976 11:11:11.888-11:11
DD-MM-YYYY hh:mm:ss.sss-hhmm,23-09-1976 11:11:11.888-1111
DD-MM-YYYY hh:mm:ss.sss-hh,23-09-1976 11:11:11.888-11
YYYYDDDThhZ,1976267T11Z
YYYYDDDThh+hh:mm,1976267T11+11:11
YYYYDDDThh+hhmm,1976267T11+1111
YYYYDDDThh+hh,1976267T11+11
YYYYDDDThh-hh:mm,1976267T11-11:11
YYYYDDDThh-hhmm,1976267T11-1111
YYYYDDDThh-hh,1976267T11-11
YYYYDDD hhZ,1976267 11Z
YYYYDDD hh+hh:mm,1976267 11+11:11
YYYYDDD hh+hhmm,1976267 11+1111
YYYYDDD hh+hh,1976267 11+11
YYYYDDD hh-hh:mm,1976267 11-11:11
YYYYDDD hh-hhmm,1976267 11-1111
YYYYDDD hh-hh,1976267 11-11
YYYYDDDThhmmZ,1976267T1111Z
YYYYDDDThhmm+hh:mm,1976267T1111+11:11
YYYYDDDThhmm+hhmm,1976267T1111+1111
YYYYDDDThhmm+hh,1976267T1111+11
YYYYDDDThhmm-hh:mm,1976267T1111-11:11
YYYYDDDThhmm-hhmm,1976267T1111-1111
YYYYDDDThhmm-hh,1976267T1111-11
YYYYDDD hhmmZ,1976267 1111Z
YYYYDDD hhmm+hh:mm,1976267 1111+11:11
YYYYDDD hhmm+hhmm,1976267 1111+1111
YYYYDDD hhmm+hh,1976267 1111+11
YYYYDDD hhmm-hh:mm,1976267 1111-11:11
YYYYDDD hhmm-hhmm,1976267 1111-1111
YYYYDDD hhmm-hh,1976267 1111-11
YYYYDDDThhmmssZ,1976267T111111Z
YYYYDDDThhmmss+hh:mm,1976267T111111+11:11
YYYYDDDThhmmss+hhmm,1976267T111111+1111
YYYYDDDThhmmss+hh,1976267T111111+11
YYYYDDDThhmmss-hh:mm,1976267T111111-11:11
YYYYDDDThhmmss-hhmm,1976267T111111-1111
YYYYDDDThhmmss-hh,1976267T111111-11
YYYYDDD hhmmssZ,1976267 111111Z
YYYYDDD hhmmss+hh:mm,1976267 111111+11:11
YYYYDDD hhmmss+hhmm,1976267 111111+1111
YYYYDDD hhmmss+hh,1976267 111111+11
YYYYDDD hhmmss-hh:mm,1976267 111111-11:11
YYYYDDD hhmmss-hhmm,1976267 111111-1111
YYYYDDD hhmmss-hh,1976267 111111-11
YYYYDDDThhmmss.sssZ,1976267T111111.888Z
YYYYDDDThhmmss.sss+hh:mm,1976267T111111.888+11:11
YYYYDDDThhmmss.sss+hhmm,1976267T111111.888+1111
YYYYDDDThhmmss.sss+hh,1976267T111111.888+11
YYYYDDDThhmmss.sss-hh:mm,1976267T111111.888-11:11
YYYYDDDThhmmss.sss-hhmm,1976267T111111.888-1111
YYYYDDDThhmmss.sss-hh,1976267T111111.888-11
YYYYDDD hhmmss.sssZ,1976267 111111.888Z
YYYYDDD hhmmss.sss+hh:mm,1976267 111111.888+11:11
YYYYDDD hhmmss.sss+hhmm,1976267 111111.888+1111
YYYYDDD hhmmss.sss+hh,1976267 111111.888+11
YYYYDDD hhmmss.sss-hh:mm,1976267 111111.888-11:11
YYYYDDD hhmmss.sss-hhmm,1976267 111111.888-1111
YYYYDDD hhmmss.sss-hh,1976267 111111.888-11
YYYYDDDThh:mmZ,1976267T11:11Z
YYYYDDDThh:mm+hh:mm,1976267T11:11+11:11
YYYYDDDThh:mm+hhmm,1976267T11:11+1111
YYYYDDDThh:mm+hh,1976267T11:11+11
YYYYDDDThh:mm-hh:mm,1976267T11:11-11:11
YYYYDDDThh:mm-hhmm,1976267T11:11-1111
YYYYDDDThh:mm-hh,1976267T11:11-11
YYYYDDD hh:mmZ,1976267 11:11Z
YYYYDDD hh:mm+hh:mm,1976267 11:11+11:11
YYYYDDD hh:mm+hhmm,1976267 11:11+1111
YYYYDDD hh:mm+hh,1976267 11:11+11
YYYYDDD hh:mm-hh:mm,1976267 11:11-11:11
YYYYDDD hh:mm-hhmm,1976267 11:11-1111
YYYYDDD hh:mm-hh,1976267 11:11-11
YYYYDDDThh:mm:ssZ,1976267T11:11:11Z
YYYYDDDThh:mm:ss+hh:mm,1976267T11:11:11+11:11
YYYYDDDThh:mm:ss+hhmm,1976267T11:11:11+1111
YYYYDDDThh:mm:ss+hh,1976267T11:11:11+11
YYYYDDDThh:mm:ss-hh:mm,1976267T11:11:11-11:11
YYYYDDDThh:mm:ss-hhmm,1976267T11:11:11-1111
YYYYDDDThh:mm:ss-hh,1976267T11:11:11-11
YYYYDDD hh:mm:ssZ,1976267 11:11:11Z
YYYYDDD hh:mm:ss+hh:mm,1976267 11:11:11+11:11
YYYYDDD hh:mm:ss+hhmm,1976267 11:11:11+1111
YYYYDDD hh:mm:ss+hh,1976267 11:11:11+11
YYYYDDD hh:mm:ss-hh:mm,1976267 11:11:11-11:11
YYYYDDD hh:mm:ss-hhmm,1976267 11:11:11-1111
YYYYDDD hh:mm:ss-hh,1976267 11:11:11-11
YYYYDDDThh:mm:ss.sssZ,1976267T11:11:11.888Z
YYYYDDDThh:mm:ss.sss+hh:mm,1976267T11:11:11.888+11:11
YYYYDDDThh:mm:ss.sss+hhmm,1976267T11:11:11.888+1111
YYYYDDDThh:mm:ss.sss+hh,1976267T11:11:11.888+11
YYYYDDDThh:mm:ss.sss-hh:mm,1976267T11:11:11.888-11:11
YYYYDDDThh:mm:ss.sss-hhmm,1976267T11:11:11.888-1111
YYYYDDDThh:mm:ss.sss-hh,1976267T11:11:11.888-11
YYYYDDD hh:mm:ss.sssZ,1976267 11:11:11.888Z
YYYYDDD hh:mm:ss.sss+hh:mm,1976267 11:11:11.888+11:11
YYYYDDD hh:mm:ss.sss+hhmm,1976267 11:11:11.888+1111
YYYYDDD hh:mm:ss.sss+hh,1976267 11:11:11.888+11
YYYYDDD hh:mm:ss.sss-hh:mm,1976267 11:11:11.888-11:11
YYYYDDD hh:mm:ss.sss-hhmm,1976267 11:11:11.888-1111
YYYYDDD hh:mm:ss.sss-hh,1976267 11:11:11.888-11
YYYY/DDDThhZ,1976/267T11Z
YYYY/DDDThh+hh:mm,1976/267T11+11:11
YYYY/DDDThh+hhmm,1976/267T11+1111
YYYY/DDDThh+hh,1976/267T11+11
YYYY/DDDThh-hh:mm,1976/267T11-11:11
YYYY/DDDThh-hhmm,1976/267T11-1111
YYYY/DDDThh-hh,1976/267T11-11
YYYY/DDD hhZ,1976/267 11Z
YYYY/DDD hh+hh:mm,1976/267 11+11:11
YYYY/DDD hh+hhmm,1976/267 11+1111
YYYY/DDD hh+hh,1976/267 11+11
YYYY/DDD hh-hh:mm,1976/267 11-11:11
YYYY/DDD hh-hhmm,1976/267 11-1111
YYYY/DDD hh-hh,1976/267 11-11
YYYY/DDDThhmmZ,1976/267T1111Z
YYYY/DDDThhmm+hh:mm,1976/267T1111+11:11
YYYY/DDDThhmm+hhmm,1976/267T1111+1111
YYYY/DDDThhmm+hh,1976/267T1111+11
YYYY/DDDThhmm-hh:mm,1976/267T1111-11:11
YYYY/DDDThhmm-hhmm,1976/267T1111-1111
YYYY/DDDThhmm-hh,1976/267T1111-11
YYYY/DDD hhmmZ,1976/267 1111Z
YYYY/DDD hhmm+hh:mm,1976/267 1111+11:11
YYYY/DDD hhmm+hhmm,1976/267 1111+1111
YYYY/DDD hhmm+hh,1976/267 1111+11
YYYY/DDD hhmm-hh:mm,1976/267 1111-11:11
YYYY/DDD hhmm-hhmm,1976/267 1111-1111
YYYY/DDD hhmm-hh,1976/267 1111-11
YYYY/DDDThhmmssZ,1976/267T111111Z
YYYY/DDDThhmmss+hh:mm,1976/267T111111+11:11
YYYY/DDDThhmmss+hhmm,1976/267T111111+1111
YYYY/DDDThhmmss+hh,1976/267T111111+11
YYYY/DDDThhmmss-hh:mm,1976/267T111111-11:11
YYYY/DDDThhmmss-hhmm,1976/267T111111-1111
YYYY/DDDThhmmss-hh,1976/267T111111-11
YYYY/DDD hhmmssZ,1976/267 111111Z
YYYY/DDD hhmmss+hh:mm,1976/267 111111+11:11
YYYY/DDD hhmmss+hhmm,1976/267 111111+1111
YYYY/DDD hhmmss+hh,1976/267 111111+11
YYYY/DDD hhmmss-hh:mm,1976/267 111111-11:11
YYYY/DDD hhmmss-hhmm,1976/267 111111-1111
YYYY/DDD hhmmss-hh,1976/267 111111-11
YYYY/DDDThhmmss.sssZ,1976/267T111111.888Z
YYYY/DDDThhmmss.sss+hh:mm,1976/267T111111.888+11:11
YYYY/DDDThhmmss.sss+hhmm,1976/267T111111.888+1111
YYYY/DDDThhmmss.sss+hh,1976/267T111111.888+11
YYYY/DDDThhmmss.sss-hh:mm,1976/267T111111.888-11:11
YYYY/DDDThhmmss.sss-hhmm,1976/267T111111.888-1111
YYYY/DDDThhmmss.sss-hh,1976/267T111111.888-11
YYYY/DDD hhmmss.sssZ,1976/267 111111.888Z
YYYY/DDD hhmmss.sss+hh:mm,1976/267 111111.888+11:11
YYYY/DDD hhmmss.sss+hhmm,1976/267 111111.888+1111
YYYY/DDD hhmmss.sss+hh,1976/267 111111.888+11
YYYY/DDD hhmmss.sss-hh:mm,1976/267 111111.888-11:11
YYYY/DDD hhmmss.sss-hhmm,1976/267 111111.888-1111
YYYY/DDD hhmmss.sss-hh,1976/267 111111.888-11
YYYY/DDDThh:mmZ,1976/267T11:11Z
YYYY/DDDThh:mm+hh:mm,1976/267T11:11+11:11
YYYY/DDDThh:mm+hhmm,1976/267T11:11+1111
YYYY/DDDThh:mm+hh,1976/267T11:11+11
YYYY/DDDThh:mm-hh:mm,1976/267T11:11-11:11
YYYY/DDDThh:mm-hhmm,1976/267T11:11-1111
YYYY/DDDThh:mm-hh,1976/267T11:11-11
YYYY/DDD hh:mmZ,1976/267 11:11Z
YYYY/DDD hh:mm+hh:mm,1976/267 11:11+11:11
YYYY/DDD hh:mm+hhmm,1976/267 11:11+1111
YYYY/DDD hh:mm+hh,1976/267 11:11+11
YYYY/DDD hh:mm-hh:mm,1976/267 11:11-11:11
YYYY/DDD hh:mm-hhmm,1976/267 11:11-1111
YYYY/DDD hh:mm-hh,1976/267 11:11-11
YYYY/DDDThh:mm:ssZ,1976/267T11:11:11Z
YYYY/DDDThh:mm:ss+hh:mm,1976/267T11:11:11+11:11
YYYY/DDDThh:mm:ss+hhmm,1976/267T11:11:11+1111
YYYY/DDDThh:mm:ss+hh,1976/267T11:11:11+11
YYYY/DDDThh:mm:ss-hh:mm,1976/267T11:11:11-11:11
YYYY/DDDThh:mm:ss-hhmm,1976/267T11:11:11-1111
YYYY/DDDThh:mm:ss-hh,1976/267T11:11:11-11
YYYY/DDD hh:mm:ssZ,1976/267 11:11:11Z
YYYY/DDD hh:mm:ss+hh:mm,1976/267 11:11:11+11:11
YYYY/DDD hh:mm:ss+hhmm,1976/267 11:11:11+1111
YYYY/DDD hh:mm:ss+hh,1976/267 11:11:11+11
YYYY/DDD hh:mm:ss-hh:mm,1976/267 11:11:11-11:11
YYYY/DDD hh:mm:ss-hhmm,1976/267 11:11:11-1111
YYYY/DDD hh:mm:ss-hh,1976/267 11:11:11-11
YYYY/DDDThh:mm:ss.sssZ,1976/267T11:11:11.888Z
YYYY/DDDThh:mm:ss.sss+hh:mm,1976/267T11:11:11.888+11:11
YYYY/DDDThh:mm:ss.sss+hhmm,1976/267T11:11:11.888+1111
YYYY/DDDThh:mm:ss.sss+hh,1976/267T11:11:11.888+11
YYYY/DDDThh:mm:ss.sss-hh:mm,1976/267T11:11:11.888-11:11
YYYY/DDDThh:mm:ss.sss-hhmm,1976/267T11:11:11.888-1111
YYYY/DDDThh:mm:ss.sss-hh,1976/267T11:11:11.888-11
YYYY/DDD hh:mm:ss.sssZ,1976/267 11:11:11.888Z
YYYY/DDD hh:mm:ss.sss+hh:mm,1976/267 11:11:11.888+11:11
YYYY/DDD hh:mm:ss.sss+hhmm,1976/267 11:11:11.888+1111
YYYY/DDD hh:mm:ss.sss+hh,1976/267 11:11:11.888+11
YYYY/DDD hh:mm:ss.sss-hh:mm,1976/267 11:11:11.888-11:11
YYYY/DDD hh:mm:ss.sss-hhmm,1976/267 11:11:11.888-1111
YYYY/DDD hh:mm:ss.sss-hh,1976/267 11:11:11.888-11
YYYY-DDDThhZ,1976-267T11Z
YYYY-DDDThh+hh:mm,1976-267T11+11:11
YYYY-DDDThh+hhmm,1976-267T11+1111
YYYY-DDDThh+hh,1976-267T11+11
YYYY-DDDThh-hh:mm,1976-267T11-11:11
YYYY-DDDThh-hhmm,1976-267T11-1111
YYYY-DDDThh-hh,1976-267T11-11
YYYY-DDD hhZ,1976-267 11Z
YYYY-DDD hh+hh:mm,1976-267 11+11:11
YYYY-DDD hh+hhmm,1976-267 11+1111
YYYY-DDD hh+hh,1976-267 11+11
YYYY-DDD hh-hh:mm,1976-267 11-11:11
YYYY-DDD hh-hhmm,1976-267 11-1111
YYYY-DDD hh-hh,1976-267 11-11
YYYY-DDDThhmmZ,1976-267T1111Z
YYYY-DDDThhmm+hh:mm,1976-267T1111+11:11
YYYY-DDDThhmm+hhmm,1976-267T1111+1111
YYYY-DDDThhmm+hh,1976-267T1111+11
YYYY-DDDThhmm-hh:mm,1976-267T1111-11:11
YYYY-DDDThhmm-hhmm,1976-267T1111-1111
YYYY-DDDThhmm-hh,1976-267T1111-11
YYYY-DDD hhmmZ,1976-267 1111Z
YYYY-DDD hhmm+hh:mm,1976-267 1111+11:11
YYYY-DDD hhmm+hhmm,1976-267 1111+1111
YYYY-DDD hhmm+hh,1976-267 1111+11
YYYY-DDD hhmm-hh:mm,1976-267 1111-11:11
YYYY-DDD hhmm-hhmm,1976-267 1111-1111
YYYY-DDD hhmm-hh,1976-267 1111-11
YYYY-DDDThhmmssZ,1976-267T111111Z
YYYY-DDDThhmmss+hh:mm,1976-267T111111+11:11
YYYY-DDDThhmmss+hhmm,1976-267T111111+1111
YYYY-DDDThhmmss+hh,1976-267T111111+11
YYYY-DDDThhmmss-hh:mm,1976-267T111111-11:11
YYYY-DDDThhmmss-hhmm,1976-267T111111-1111
YYYY-DDDThhmmss-hh,1976-267T111111-11
YYYY-DDD hhmmssZ,1976-267 111111Z
YYYY-DDD hhmmss+hh:mm,1976-267 111111+11:11
YYYY-DDD hhmmss+hhmm,1976-267 111111+1111
YYYY-DDD hhmmss+hh,1976-267 111111+11
YYYY-DDD hhmmss-hh:mm,1976-267 111111-11:11
YYYY-DDD hhmmss-hhmm,1976-267 111111-1111
YYYY-DDD hhmmss-hh,1976-267 111111-11
YYYY-DDDThhmmss.sssZ,1976-267T111111.888Z
YYYY-DDDThhmmss.sss+hh:mm,1976-267T111111.888+11:11
YYYY-DDDThhmmss.sss+hhmm,1976-267T111111.888+1111
YYYY-DDDThhmmss.sss+hh,1976-267T111111.888+11
YYYY-DDDThhmmss.sss-hh:mm,1976-267T111111.888-11:11
YYYY-DDDThhmmss.sss-hhmm,1976-267T111111.888-1111
YYYY-DDDThhmmss.sss-hh,1976-267T111111.888-11
YYYY-DDD hhmmss.sssZ,1976-267 111111.888Z
YYYY-DDD hhmmss.sss+hh:mm,1976-267 111111.888+11:11
YYYY-DDD hhmmss.sss+hhmm,1976-267 111111.888+1111
YYYY-DDD hhmmss.sss+hh,1976-267 111111.888+11
YYYY-DDD hhmmss.sss-hh:mm,1976-267 111111.888-11:11
YYYY-DDD hhmmss.sss-hhmm,1976-267 111111.888-1111
YYYY-DDD hhmmss.sss-hh,1976-267 111111.888-11
YYYY-DDDThh:mmZ,1976-267T11:11Z
YYYY-DDDThh:mm+hh:mm,1976-267T11:11+11:11
YYYY-DDDThh:mm+hhmm,1976-267T11:11+1111
YYYY-DDDThh:mm+hh,1976-267T11:11+11
YYYY-DDDThh:mm-hh:mm,1976-267T11:11-11:11
YYYY-DDDThh:mm-hhmm,1976-267T11:11-1111
YYYY-DDDThh:mm-hh,1976-267T11:11-11
YYYY-DDD hh:mmZ,1976-267 11:11Z
YYYY-DDD hh:mm+hh:mm,1976-267 11:11+11:11
YYYY-DDD hh:mm+hhmm,1976-267 11:11+1111
YYYY-DDD hh:mm+hh,1976-267 11:11+11
YYYY-DDD hh:mm-hh:mm,1976-267 11:11-11:11
YYYY-DDD hh:mm-hhmm,1976-267 11:11-1111
YYYY-DDD hh:mm-hh,1976-267 11:11-11
YYYY-DDDThh:mm:ssZ,1976-267T11:11:11Z
YYYY-DDDThh:mm:ss+hh:mm,1976-267T11:11:11+11:11
YYYY-DDDThh:mm:ss+hhmm,1976-267T11:11:11+1111
YYYY-DDDThh:mm:ss+hh,1976-267T11:11:11+11
YYYY-DDDThh:mm:ss-hh:mm,1976-267T11:11:11-11:11
YYYY-DDDThh:mm:ss-hhmm,1976-267T11:11:11-1111
YYYY-DDDThh:mm:ss-hh,1976-267T11:11:11-11
YYYY-DDD hh:mm:ssZ,1976-267 11:11:11Z
YYYY-DDD hh:mm:ss+hh:mm,1976-267 11:11:11+11:11
YYYY-DDD hh:mm:ss+hhmm,1976-267 11:11:11+1111
YYYY-DDD hh:mm:ss+hh,1976-267 11:11:11+11
YYYY-DDD hh:mm:ss-hh:mm,1976-267 11:11:11-11:11
YYYY-DDD hh:mm:ss-hhmm,1976-267 11:11:11-1111
YYYY-DDD hh:mm:ss-hh,1976-267 11:11:11-11
YYYY-DDDThh:mm:ss.sssZ,1976-267T11:11:11.888Z
YYYY-DDDThh:mm:ss.sss+hh:mm,1976-267T11:11:11.888+11:11
YYYY-DDDThh:mm:ss.sss+hhmm,1976-267T11:11:11.888+1111
YYYY-DDDThh:mm:ss.sss+hh,1976-267T11:11:11.888+11
YYYY-DDDThh:mm:ss.sss-hh:mm,1976-267T11:11:11.888-11:11
YYYY-DDDThh:mm:ss.sss-hhmm,1976-267T11:11:11.888-1111
YYYY-DDDThh:mm:ss.sss-hh,1976-267T11:11:11.888-11
YYYY-DDD hh:mm:ss.sssZ,1976-267 11:11:11.888Z
YYYY-DDD hh:mm:ss.sss+hh:mm,1976-267 11:11:11.888+11:11
YYYY-DDD hh:mm:ss.sss+hhmm,1976-267 11:11:11.888+1111
YYYY-DDD hh:mm:ss.sss+hh,1976-267 11:11:11.888+11
YYYY-DDD hh:mm:ss.sss-hh:mm,1976-267 11:11:11.888-11:11
YYYY-DDD hh:mm:ss.sss-hhmm,1976-267 11:11:11.888-1111
YYYY-DDD hh:mm:ss.sss-hh,1976-267 11:11:11.888-11
DDDYYYYThhZ,2671976T11Z
DDDYYYYThh+hh:mm,2671976T11+11:11
DDDYYYYThh+hhmm,2671976T11+1111
DDDYYYYThh+hh,2671976T11+11
DDDYYYYThh-hh:mm,2671976T11-11:11
DDDYYYYThh-hhmm,2671976T11-1111
DDDYYYYThh-hh,2671976T11-11
DDDYYYY hhZ,2671976 11Z
DDDYYYY hh+hh:mm,2671976 11+11:11
DDDYYYY hh+hhmm,2671976 11+1111
DDDYYYY hh+hh,2671976 11+11
